"Run 1: Time (s)","Run 1: Temperature (°C)","Run 1: Temperature (°C)"
6.67,0.6,0.7
6.68,0.2,0.5
6.69,0.2,0.5
6.70,0.3,0.5
6.71,-0.3,0.3
6.72,0.6,0.7
6.73,0.2,0.6
6.74,0.3,0.5
6.75,0.3,0.5
6.76,-0.3,0.3
6.77,0.6,0.7
6.78,0.2,0.5
6.79,0.2,0.5
6.80,0.3,0.6
6.81,-0.2,0.4
6.82,0.6,0.7
6.83,0.2,0.5
6.84,0.3,0.6
6.85,0.3,0.5
6.86,-0.1,0.3
6.87,0.6,0.7
6.88,0.2,0.5
6.89,0.2,0.5
6.90,0.2,0.5
6.91,-0.2,0.4
6.92,0.6,0.7
6.93,0.2,0.5
6.94,0.2,0.5
6.95,0.2,0.5
6.96,-0.1,0.3
6.97,0.6,0.7
6.98,0.2,0.5
6.99,0.3,0.5
7.00,0.3,0.5
7.01,-0.1,0.4
7.02,0.6,0.7
7.03,0.2,0.5
7.04,0.2,0.5
7.05,0.4,0.6
7.06,-0.1,0.4
7.07,0.6,0.7
7.08,0.2,0.5
7.09,0.3,0.5
7.10,0.3,0.5
7.11,-0.1,0.4
7.12,0.6,0.7
7.13,0.2,0.5
7.14,0.2,0.5
7.15,0.2,0.5
7.16,-0.1,0.4
7.17,0.6,0.7
7.18,0.2,0.5
7.19,0.3,0.5
7.20,0.3,0.5
7.21,-0.2,0.3
7.22,0.6,0.7
7.23,0.2,0.5
7.24,0.2,0.5
7.25,0.2,0.5
7.26,-0.1,0.3
7.27,0.6,0.7
7.28,0.2,0.5
7.29,0.2,0.5
7.30,0.3,0.5
7.31,-0.2,0.3
7.32,0.5,0.6
7.33,0.2,0.5
7.34,0.2,0.5
7.35,0.3,0.5
7.36,-0.2,0.3
7.37,0.3,0.5
7.38,0.3,0.5
7.39,0.2,0.5
7.40,0.3,0.5
7.41,-0.2,0.3
7.42,0.3,0.5
7.43,0.2,0.5
7.44,0.2,0.5
7.45,0.4,0.5
7.46,-0.2,0.3
7.47,0.3,0.5
7.48,0.2,0.5
7.49,0.3,0.5
7.50,0.3,0.5
7.51,-0.2,0.3
7.52,0.3,0.5
7.53,0.2,0.5
7.54,0.2,0.4
7.55,0.3,0.5
7.56,-0.2,0.3
7.57,0.3,0.5
7.58,0.2,0.5
7.59,0.2,0.5
7.60,0.3,0.5
7.61,-0.2,0.3
7.62,0.3,0.5
7.63,0.2,0.5
7.64,0.2,0.4
7.65,0.2,0.5
7.66,-0.2,0.3
7.67,0.3,0.5
7.68,0.3,0.5
7.69,0.2,0.5
7.70,0.3,0.5
7.71,-0.2,0.2
7.72,0.3,0.5
7.73,0.2,0.5
7.74,0.2,0.4
7.75,0.2,0.5
7.76,-0.3,0.3
7.77,0.3,0.5
7.78,0.2,0.5
7.79,0.2,0.5
7.80,0.2,0.5
7.81,-0.2,0.3
7.82,0.3,0.5
7.83,0.2,0.5
7.84,0.2,0.5
7.85,0.3,0.5
7.86,-0.2,0.3
7.87,0.3,0.5
7.88,0.2,0.5
7.89,0.3,0.5
7.90,0.3,0.5
7.91,-0.2,0.3
7.92,0.3,0.5
7.93,0.3,0.5
7.94,0.2,0.4
7.95,0.2,0.5
7.96,-0.2,0.3
7.97,0.3,0.5
7.98,0.3,0.5
7.99,0.3,0.5
8.00,0.3,0.5
8.01,-0.2,0.3
8.02,0.3,0.5
8.03,0.3,0.5
8.04,0.3,0.5
8.05,0.2,0.5
8.06,-0.1,0.3
8.07,0.3,0.5
8.08,0.2,0.5
8.09,0.2,0.4
8.10,0.2,0.5
8.11,-0.1,0.3
8.12,0.3,0.5
8.13,0.3,0.5
8.14,0.2,0.4
8.15,0.2,0.5
8.16,-0.1,0.3
8.17,0.3,0.5
8.18,0.3,0.5
8.19,0.2,0.4
8.20,0.2,0.5
8.21,-0.1,0.3
8.22,0.3,0.5
8.23,0.3,0.5
8.24,0.2,0.4
8.25,0.2,0.4
8.26,-0.1,0.3
8.27,0.3,0.5
8.28,0.3,0.5
8.29,0.4,0.5
8.30,0.3,0.5
8.31,-0.0,0.3
8.32,0.3,0.5
8.33,0.3,0.5
8.34,0.2,0.4
8.35,0.2,0.4
8.36,-0.1,0.3
8.37,0.3,0.5
8.38,0.3,0.5
8.39,0.3,0.5
8.40,0.4,0.5
8.41,-0.1,0.3
8.42,0.3,0.5
8.43,0.3,0.4
8.44,0.2,0.4
8.45,0.3,0.5
8.46,-0.0,0.3
8.47,0.3,0.5
8.48,0.3,0.5
8.49,0.2,0.4
8.50,0.3,0.4
8.51,-0.1,0.3
8.52,0.3,0.5
8.53,0.3,0.4
8.54,0.2,0.4
8.55,0.4,0.5
8.56,-0.1,0.3
8.57,0.3,0.5
8.58,0.3,0.4
8.59,0.2,0.4
8.60,0.2,0.4
8.61,-0.1,0.3
8.62,0.3,0.4
8.63,0.3,0.5
8.64,0.2,0.4
8.65,0.3,0.5
8.66,-0.1,0.3
8.67,0.3,0.5
8.68,0.3,0.5
8.69,0.3,0.5
8.70,0.4,0.5
8.71,-0.1,0.3
8.72,0.3,0.4
8.73,0.3,0.5
8.74,0.2,0.4
8.75,0.3,0.4
8.76,-0.1,0.3
8.77,0.3,0.4
8.78,0.3,0.5
8.79,0.3,0.4
8.80,0.4,0.5
8.81,-0.1,0.3
8.82,0.3,0.5
8.83,0.2,0.4
8.84,0.2,0.4
8.85,0.3,0.5
8.86,-0.1,0.3
8.87,0.3,0.4
8.88,0.3,0.5
8.89,0.3,0.4
8.90,0.4,0.4
8.91,-0.1,0.3
8.92,0.3,0.4
8.93,0.2,0.4
8.94,0.3,0.4
8.95,0.3,0.5
8.96,-0.1,0.3
8.97,0.3,0.4
8.98,0.2,0.4
8.99,0.3,0.4
9.00,0.3,0.4
9.01,-0.1,0.3
9.02,0.3,0.4
9.03,0.3,0.4
9.04,0.2,0.4
9.05,0.3,0.5
9.06,-0.1,0.3
9.07,0.2,0.4
9.08,0.2,0.4
9.09,0.2,0.4
9.10,0.3,0.4
9.11,-0.1,0.3
9.12,0.3,0.4
